SECTION,CATEGORY,ITEM,DESCRIPTION,DETAILS
CONTACT,Email,ruban@example.com,Professional Email,
CONTACT,Phone,+91-XXXXX-XXXXX,Contact Number,
CONTACT,Location,City State,Current Location,
SUMMARY,PROFESSIONAL,Summary,Dedicated software developer with strong foundation in computer science and advanced computing expertise,
SUMMARY,PROFESSIONAL,Summary,"Proficient in full-stack development, cloud technologies, and modern software engineering practices"
EDUCATION,DEGREE,Master of Computer Application (MCA),Advanced Computing & Software Development,
EDUCATION,COURSEWORK,Advanced Algorithms,Core Subject,
EDUCATION,COURSEWORK,Database Management,Core Subject,
EDUCATION,COURSEWORK,Software Engineering,Core Subject,
EDUCATION,COURSEWORK,Cloud Computing,Core Subject,
EDUCATION,COURSEWORK,Machine Learning,Core Subject,
EDUCATION,COURSEWORK,Web Services & APIs,Core Subject,
EDUCATION,DEGREE,Bachelor's Degree in Computer Science,Foundation in Computing & Programming,
EDUCATION,COURSEWORK,Data Structures,Core Subject,
EDUCATION,COURSEWORK,Algorithms,Core Subject,
EDUCATION,COURSEWORK,Web Development,Core Subject,
EDUCATION,COURSEWORK,Database Systems,Core Subject,
EDUCATION,COURSEWORK,Object-Oriented Programming,Core Subject,
EDUCATION,COURSEWORK,Computer Networks,Core Subject,
SKILLS,TECHNICAL,Programming Languages,JavaScript React Node.js Python Java,
SKILLS,TECHNICAL,Frontend,HTML5 CSS3 Tailwind Bootstrap,
SKILLS,TECHNICAL,Backend,Node.js Express Python Django,
SKILLS,TECHNICAL,Databases,MySQL PostgreSQL MongoDB,
SKILLS,TECHNICAL,Tools & Platforms,Git Docker AWS GCP Figma,
SKILLS,SOFT,Communication,Strong written and verbal communication skills,
SKILLS,SOFT,Problem Solving,Analytical thinking and solution-oriented approach,
SKILLS,SOFT,Teamwork,Collaborative approach to project development,
PROJECTS,PROJECT,Project Name,Brief Description,Technologies Used
PROJECTS,PROJECT,Portfolio Website,Modern responsive portfolio showcasing skills and projects,React Tailwind Vite
PROJECTS,PROJECT,Project 2,Description of another project,Tech Stack
EXPERIENCE,WORK,Position Title,Company Name,Duration
EXPERIENCE,WORK,Details,"Description of responsibilities and achievements",
CERTIFICATIONS,CERT,Certification Name,Issuing Organization,Year
